index,id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count
0,1390555798737235970,"Its the little acts of kindness, its the small #kindness efforts of individual that make a great nation!

#COVID19 

Seen somewhere in Calgary, Canada https://t.co/EKb8exzakX",,2021-05-07T06:35:12.000Z,,0,0,0,0
1,1390549121040216065,"Thursday Training Day!!! 
The “Coolest” Charity on the Planet.🌏
❄️@CancerSociety
❄️ #EverestInEdmonton 
❄️ February 26. 2022
❄️ #Edmonton #Alberta 
❄️ @MarkPavelich 
❄️ @ShonnOborowsky
❄️ 44.5KM
❄️ @fairmontmac
❄️ https://t.co/03gFMDqw6Y https://t.co/A1Z0fUMirV",,2021-05-07T06:08:40.000Z,{'place_id': '6a6d896ba1cb5dc4'},5,0,0,1
2,1390526778477662208,"@CMOH_Alberta Hey instead of recognizing the disruption, how about you donate your salary to someone you put out of work? Why should you get paid the same while you needlessly put businesses in the toilet and young people in despair?",,2021-05-07T04:39:53.000Z,,2,0,0,0
3,1390518309745954817,Lacombe BOTM donation to Central Alberta Women’s Emergency Shelter https://t.co/S0MIqEZzE2,,2021-05-07T04:06:14.000Z,,0,0,0,0
4,1390499923225980934,"Opened Garbage in a Park request via iphone at 1 Kincora Dr NW https://t.co/lBsu64vcyE. Bin overflowing. needs emptying asap. cleaned up garbage in path system(heavy with cans of food that someone was gonna donate to the good bank, but thrown in the... https://t.co/m94QEJHOLt",,2021-05-07T02:53:10.000Z,"{'coordinates': {'type': 'Point', 'coordinates': [-114.12815737, 51.15875813]}, 'place_id': '53504716d445dcad'}",0,0,0,0
5,1390499698511736834,"Hey folks. If you live in Alberta. We’re trying to get the first Blackfoot woman elected to Calgary City Counsel. She’s also a dynamite candidate. If you’d like to donate or volunteer, please go to https://t.co/bRt4sbMt0P #yyc #municipalElection",,2021-05-07T02:52:17.000Z,,1,0,1,1
6,1390475884386127874,@YWcalgary Did you know? Your donated lemon = donation dollars for YWCA Calgary @ https://t.co/jpQFbFC6zu through @donatecarcanada! https://t.co/pXxLW0Km70,,2021-05-07T01:17:39.000Z,,0,0,0,0
7,1390474844400062465,@MakeAWishNAB Did you know? Your donated lemon = donation dollars for Make-A-Wish Northern Alberta @ https://t.co/m7vGktpuFd through @donatecarcanada! https://t.co/Bpr0TEuYgT,,2021-05-07T01:13:31.000Z,,0,0,0,0
8,1390470057906503680,@mustardseedyyc Did you know? Your donated lemon = donation dollars for the Mustard Seed Calgary @ https://t.co/T2zAvRCn0b through @donatecarcanada! https://t.co/Do3IsWbCHG,,2021-05-07T00:54:30.000Z,,0,0,0,0
9,1390469223919456269,@CBCAlerts Unless you live in Alberta where @jkenney would rather not accept charity from the Feds.,,2021-05-07T00:51:11.000Z,,0,0,0,0
